,Daily Returns,Total Returns,Funds,Margin,Portfolio Value,AAPL Position,AAPL Order,AAPL Filled Order,AAPL Trade Price,AAPL Cost to Trade,AAPL PnL,AIG Position,AIG Order,AIG Filled Order,AIG Trade Price,AIG Cost to Trade,AIG PnL,AIR Position,AIR Order,AIR Filled Order,AIR Trade Price,AIR Cost to Trade,AIR PnL,A Position,A Order,A Filled Order,A Trade Price,A Cost to Trade,A PnL
2016-09-29,0.4190105,-26.30695175,319519.8025,414842.16,734361.9625,-1878,364,0,113.16,0.0,3324.06,-1519,842,0,59.35,0.0,1670.9,-3763,-130,-130,29.81,17.225,-804.855,0,0,0,47.05,0.0,-0.0
2016-09-28,-0.475374,-26.72596225,325769.0675,409788.49,735557.5575,-1878,350,0,113.69,0.0,-1615.08,-1519,588,0,58.78,0.0,-1503.81,-3633,248,0,29.45,0.0,-1634.85,0,0,0,46.9,0.0,0.0
2016-09-27,-0.1906324,-26.25058825,332121.5275,406612.26,738733.7875,-1878,-412,-412,113.0,79.104,-424.044,-1519,85,85,58.14,10.115,-395.705,-3633,-1133,-1133,29.2,152.955,-1086.575,0,0,0,46.53,0.0,0.0
2016-09-26,0.2256855,-26.05995585,408386.5215,331252.0,739638.5215,-1466,41,0,111.64,0.0,-249.22,-1604,1375,1375,58.44,170.5,998.17,-2500,-210,-210,29.54,41.895,1507.905,0,0,0,46.46,0.0,0.0
2016-09-23,0.2425438,-26.28564135,321329.7165,411962.4,733292.1165,-1466,-296,-296,114.42,43.512,2697.348,-2979,624,0,58.92,0.0,774.54,-2290,-525,-525,30.0,77.7,-1046.45,0,0,0,46.43,0.0,0.0
2016-09-22,-0.57776315,-26.52818515,381285.4885,357235.96,738521.4485,-1170,-137,-137,114.35,24.3175,-1166.6175,-2979,978,978,58.24,137.898,-2965.698,-1765,-576,-576,28.3,71.136,-1645.316,0,0,0,46.38,0.0,0.0
2016-09-21,-0.1695019,-25.950422,359841.23,380570.75,740411.98,-1033,-304,-304,113.85,54.872,50.908,-3957,575,575,58.12,67.275,-1217.525,-1189,-704,-704,27.74,86.592,-528.402,0,0,0,45.98,0.0,0.0
2016-09-20,-0.0775296,-25.7809201,382111.649,359179.73,741291.379,-729,-409,-409,113.05,100.8185,-310.2985,-4532,1395,1395,58.09,200.88,-549.63,-485,-485,-485,27.84,60.8675,84.6325,0,0,0,45.33,0.0,0.0
2016-09-19,0.0719047,-25.7033905,359097.675,381515.85,740613.525,-320,-320,-320,115.19,65.44,449.76,-5927,229,229,58.15,29.083,269.287,0,0,0,27.61,0.0,0.0,0,0,0,44.9,0.0,0.0
2016-09-16,0.424764,-25.7752952,381997.928,358340.76,740338.688,0,0,0,115.12,0.0,-0.0,-6156,-411,0,58.21,0.0,4247.64,0,0,0,28.08,0.0,0.0,0,0,0,45.39,0.0,-0.0
2016-09-15,-0.313956,-26.2000592,384583.448,357048.0,741631.448,0,0,0,113.86,0.0,0.0,-6156,-440,0,58.0,0.0,-3139.56,0,0,0,27.47,0.0,0.0,0,0,0,44.86,0.0,0.0
2016-09-14,0.08910855,-25.8861032,382367.288,358156.08,740523.368,0,0,0,108.73,0.0,0.0,-6156,-316,0,58.18,0.0,923.4,0,0,0,27.51,0.0,0.0,0,129,129,45.01,18.1245,-32.3145
2016-09-13,0.4812517,-25.97521175,378335.6225,363084.12,741419.7425,0,0,0,107.51,0.0,0.0,-6156,-133,0,58.03,0.0,4678.56,0,0,0,27.84,0.0,-0.0,-129,109,109,45.36,18.203,133.957
2016-09-12,-0.2863274,-26.45646345,370698.1055,369384.1,740082.2055,0,0,0,102.65,0.0,0.0,-6156,-1316,-1316,58.28,173.054,-2656.214,0,0,0,27.51,0.0,0.0,-238,-1653,0,44.59,0.0,-207.06
2016-09-09,0.22861475,-26.17013605,441039.3195,295951.78,736991.0995,0,0,0,104.64,0.0,-0.0,-4840,-45,-45,58.86,5.8725,1776.8275,0,0,0,28.31,0.0,-0.0,-238,-3097,0,46.51,0.0,509.32
2016-09-08,0.160377,-26.3987508,438440.532,295929.76,734370.292,0,0,0,107.25,0.0,-0.0,-4795,891,0,59.38,0.0,1582.35,0,0,0,28.59,0.0,0.0,-238,-4135,0,47.07,0.0,21.42
2016-09-07,-0.0874735,-26.5591278,439015.932,295642.06,734657.992,0,0,0,107.83,0.0,0.0,-4795,-4478,-4478,59.32,638.115,-836.655,0,0,0,28.53,0.0,0.0,-238,-8664,0,47.07,0.0,-38.08
2016-09-06,-0.022428,-26.4716543,705173.387,30064.91,735238.297,0,0,0,107.9,0.0,0.0,-317,252,0,59.63,0.0,129.97,0,0,0,29.01,0.0,-0.0,-238,14646,14646,46.9,1830.75,-354.25
2016-09-02,0.1512056,-26.4492263,10226.237,721902.56,732128.797,0,0,0,107.7,0.0,0.0,-317,-317,-317,59.72,47.55,-91.93,0,0,0,26.57,0.0,0.0,-14884,-14668,-14668,47.23,1767.494,1603.986
2016-09-01,-0.2568087,-26.6004319,723828.561,10158.48,733987.041,0,0,0,106.14,0.0,0.0,0,0,0,59.91,0.0,0.0,0,0,0,24.6,0.0,0.0,-216,15183,15183,47.03,1806.777,-2568.087
2016-08-31,0.246384,-26.3436232,8807.028,725600.88,734407.908,0,0,0,105.66,0.0,0.0,0,0,0,59.7,0.0,0.0,0,0,0,24.64,0.0,-0.0,-15399,15389,0,47.12,0.0,2463.84
2016-08-30,0.739152,-26.5900072,-7823.892,733916.34,726092.448,0,0,0,105.8,0.0,0.0,0,0,0,59.74,0.0,0.0,0,0,0,24.69,0.0,0.0,-15399,15495,0,47.66,0.0,7391.52
2016-08-29,-0.46197,-27.3291592,-1356.312,730682.55,729326.238,0,0,0,106.62,0.0,0.0,0,0,0,59.15,0.0,0.0,0,0,0,24.45,0.0,0.0,-15399,15414,0,47.45,0.0,-4619.7
2016-08-26,-0.0767361,-26.8671892,-124.392,730066.59,729942.198,0,0,0,107.41,0.0,-0.0,0,0,0,59.17,0.0,0.0,0,0,0,24.83,0.0,0.0,-15399,-16482,-16482,47.41,2315.721,-767.361
2016-08-25,-0.1663137,-26.7904531,680912.889,0.0,732095.469,0,0,0,107.39,0.0,0.0,0,0,0,58.76,0.0,0.0,0,0,0,24.58,0.0,0.0,1083,17526,17526,46.67,2795.397,-1663.137
2016-08-24,1.841616,-26.6241394,-68330.934,784988.82,716657.886,0,0,0,108.56,0.0,-0.0,0,0,0,59.01,0.0,-0.0,0,0,0,24.62,0.0,0.0,-16443,17867,0,47.74,0.0,18416.16
2016-08-23,-0.394632,-28.4657554,-68002.074,784824.39,716822.316,0,0,0,108.59,0.0,0.0,0,0,0,59.25,0.0,0.0,0,0,0,23.84,0.0,0.0,-16443,17829,0,47.73,0.0,-3946.32
2016-08-22,0.065772,-28.0711234,-64713.474,783180.09,718466.616,0,0,0,108.86,0.0,-0.0,0,0,0,58.91,0.0,0.0,0,0,0,23.81,0.0,-0.0,-16443,17435,0,47.63,0.0,657.72
2016-08-19,-1.47987,-28.1368954,-30183.174,765914.94,735731.766,0,0,0,108.77,0.0,0.0,0,0,0,58.8,0.0,0.0,0,0,0,23.75,0.0,0.0,-16443,17194,0,46.58,0.0,-14798.7
2016-08-18,2.811753,-26.6570254,-40048.974,770847.84,730798.866,0,0,0,109.23,0.0,0.0,0,0,0,59.11,0.0,0.0,0,0,0,23.42,0.0,0.0,-16443,17907,0,46.88,0.0,28117.53
2016-08-17,-0.246645,-29.4687784,-97599.474,799623.09,702023.616,0,0,0,109.1,0.0,0.0,0,0,0,59.26,0.0,-0.0,0,0,0,23.53,0.0,0.0,-16443,18323,0,48.63,0.0,-2466.45
2016-08-16,0.263088,-29.2221334,-85760.514,793703.61,707943.096,0,0,0,109.63,0.0,0.0,0,0,0,58.98,0.0,0.0,0,0,0,23.9,0.0,-0.0,-16443,18181,0,48.27,0.0,2630.88
2016-08-15,-0.49329,-29.4852214,-82471.914,792059.31,709587.396,0,0,0,108.14,0.0,0.0,0,0,0,59.02,0.0,0.0,0,0,0,23.74,0.0,0.0,-16443,18082,0,48.17,0.0,-4932.9
2016-08-12,-0.016443,-28.9919314,-75894.714,788770.71,712875.996,0,0,0,107.78,0.0,0.0,0,0,0,58.84,0.0,0.0,0,0,0,23.7,0.0,0.0,-16443,17901,0,47.97,0.0,-164.43
2016-08-11,-1.019466,-28.9754884,-64384.614,783015.66,718631.046,0,0,0,108.52,0.0,0.0,0,0,0,59.2,0.0,0.0,0,0,0,23.75,0.0,0.0,-16443,17753,0,47.62,0.0,-10194.66
