,Daily Returns,Total Returns,Funds,Portfolio Value,A Position,A Order,A Filled Order,A Trade Price,A Cost to Trade,A PnL,AAPL Position,AAPL Order,AAPL Filled Order,AAPL Trade Price,AAPL Cost to Trade,AAPL PnL,AEG Position,AEG Order,AEG Filled Order,AEG Trade Price,AEG Cost to Trade,AEG PnL,AIN Position,AIN Order,AIN Filled Order,AIN Trade Price,AIN Cost to Trade,AIN PnL,AIR Position,AIR Order,AIR Filled Order,AIR Trade Price,AIR Cost to Trade,AIR PnL
2010-12-16,-9.649384,-105.4713849,-17337.699,-54713.849,-29081,28775.0,0,38.61,0.0,-36642.06,-33526,33340.0,0,45.87,0.0,-4023.12,107303,-107303.0,0,6.06,0.0,-4292.12,0,-232.0,0,23.77,0.0,0.0,-35299,34706.0,0,28.0,0.0,-51536.54
2010-12-15,0.398644,-95.8220009,-17337.699,41779.991,-29081,28804.0,0,39.01,0.0,12214.02,-33526,33350.0,0,45.71,0.0,-335.26,107303,-107303.0,0,6.19,0.0,-9657.27,0,-204.0,0,24.24,0.0,0.0,-35299,34768.0,0,26.84,0.0,1764.95
2010-12-14,0.658269,-96.2206449,-17337.699,37793.551,-29081,28850.0,0,38.8,0.0,-5816.2,-33526,33375.0,0,45.96,0.0,6369.94,107303,-107303.0,0,6.23,0.0,2146.06,0,-161.0,0,24.45,0.0,0.0,-35299,34863.0,0,27.06,0.0,3882.89
2010-12-13,1.620256,-96.8789139,-17337.699,31210.861,-29081,28969.0,0,38.54,0.0,-4652.96,-33526,33452.0,0,46.34,0.0,-5364.16,107303,-107303.0,0,6.17,0.0,7511.21,0,-74.0,0,24.32,0.0,0.0,-35299,35089.0,0,27.51,0.0,18708.47
2010-12-10,-3.562923,-98.4991699,-17337.699,15008.301,-29081,28701.0,0,38.0,0.0,-14249.69,-33526,33269.0,0,45.66,0.0,-3687.86,107303,-107303.0,0,6.08,0.0,-3219.09,0,-239.0,0,24.05,0.0,0.0,-35299,34595.0,0,27.24,0.0,-14472.59
2010-12-09,-0.374029,-94.9362469,-17337.699,50637.531,-29081,28675.0,0,37.85,0.0,-11341.59,-33526,33236.0,0,46.02,0.0,6034.68,107303,-107303.0,0,6.13,0.0,11803.33,0,-243.0,0,24.01,0.0,0.0,-35299,34548.0,0,27.04,0.0,-10236.71
2010-12-08,-0.253565,-94.5622179,-17337.699,54377.821,-29081,28659.0,0,37.59,0.0,-2326.48,-33526,33212.0,0,45.66,0.0,-13410.4,107303,-107303.0,0,5.94,0.0,10730.3,0,-239.0,0,23.72,0.0,0.0,-35299,34510.0,0,27.03,0.0,2470.93
2010-12-07,-0.545006,-94.3086529,-17337.699,56913.471,-29081,28622.0,0,37.59,0.0,-13086.45,-33526,33169.0,0,46.26,0.0,9387.28,107303,-107303.0,0,6.01,0.0,1073.03,0,-244.0,0,23.49,0.0,0.0,-35299,34434.0,0,27.0,0.0,-2823.92
2010-12-06,-3.340859,-93.7636469,-17337.699,62363.531,-29081,28382.0,0,37.3,0.0,10178.35,-33526,32961.0,0,45.52,0.0,-13075.14,107303,-107303.0,0,5.93,0.0,-11803.33,0,-348.0,0,22.92,0.0,0.0,-35299,33962.0,0,26.24,0.0,-18708.47
2010-12-03,-3.382911,-90.4227879,-17337.699,95772.121,-29081,28146.0,0,36.5,0.0,-22101.56,-33526,32730.0,0,45.29,0.0,3352.6,107303,-107303.0,0,5.94,0.0,7511.21,0,-431.0,0,22.46,0.0,0.0,-35299,33486.0,0,25.41,0.0,-22591.36
