,Daily Returns,Total Returns,Funds,Portfolio Value,A Position,A Order,A Filled Order,A Trade Price,A Cost to Trade,A PnL,AAPL Position,AAPL Order,AAPL Filled Order,AAPL Trade Price,AAPL Cost to Trade,AAPL PnL,AEG Position,AEG Order,AEG Filled Order,AEG Trade Price,AEG Cost to Trade,AEG PnL,AIN Position,AIN Order,AIN Filled Order,AIN Trade Price,AIN Cost to Trade,AIN PnL,AIR Position,AIR Order,AIR Filled Order,AIR Trade Price,AIR Cost to Trade,AIR PnL
2016-11-04,-0.16191995,14.21767575,1149523.9475,1142176.7575,0,0.0,0,43.69,0.0,0.0,-4291,259.0,259,108.53,50.6345,4534.1555,0,0.0,0,4.25,0.0,-0.0,0,0.0,0,38.8,0.0,0.0,-17697,-1091.0,-1091,31.55,136.375,-6153.355
2016-11-03,0.364368,14.3795957,1142714.957,1143795.957,0,0.0,0,43.33,0.0,0.0,-4550,145.0,145,110.98,22.62,8073.83,0,0.0,0,4.31,0.0,0.0,0,0.0,0,38.7,0.0,-0.0,-16606,-834.0,-834,31.3,120.93,-4430.15
2016-11-02,1.0425722,14.0152277,1132369.727,1140152.277,0,0.0,0,43.47,0.0,-0.0,-4695,156.0,156,111.4,40.872,-496.332,0,0.0,0,4.29,0.0,-0.0,0,0.0,0,38.55,0.0,0.0,-15772,-939.0,-939,31.84,125.826,10922.054
2016-11-01,1.2514599,12.9726555,1114236.885,1129726.555,0,0.0,0,43.73,0.0,0.0,-4851,192.0,192,113.46,29.088,9930.822,0,0.0,0,4.37,0.0,0.0,0,0.0,0,40.5,0.0,-0.0,-14833,-581.0,-581,32.4,71.463,2583.777
2016-10-31,-0.39739245,11.7211956,1120077.706,1117211.956,0,0.0,0,43.33,0.0,0.0,-5043,184.0,184,113.65,34.592,886.028,0,0.0,0,4.34,0.0,0.0,0,0.0,0,40.2,0.0,0.0,-14252,-865.0,-865,31.93,100.7725,-4859.9525
2016-10-28,0.6064286,12.11858805,1118795.3905,1121185.8805,0,0.0,0,43.38,0.0,0.0,-5227,153.0,153,113.87,28.764,4037.086,0,0.0,0,4.39,0.0,-0.0,0,0.0,0,40.35,0.0,-0.0,-13387,-717.0,-717,31.95,86.04,2027.2
2016-10-27,0.54289595,11.51215945,1110099.0945,1115121.5945,0,0.0,0,43.97,0.0,0.0,-5380,24.0,24,115.39,5.268,5971.332,0,0.0,0,4.38,0.0,0.0,0,0.0,0,40.75,0.0,0.0,-12670,-459.0,-459,32.0,58.5225,-542.3725
2016-10-26,1.4035028,10.9692635,1119174.065,1109692.635,0,0.0,0,43.42,0.0,-0.0,-5404,5.0,5,114.31,0.7625,14393.5775,0,0.0,0,4.32,0.0,0.0,0,0.0,0,41.2,0.0,-0.0,-12211,171.0,171,31.74,22.9995,-358.5495
2016-10-25,-0.3810458,9.5657607,1095051.547,1095657.607,0,0.0,0,45.26,0.0,-0.0,-5409,-46.0,-46,117.95,6.302,-3237.902,0,0.0,0,4.28,0.0,0.0,0,0.0,0,41.95,0.0,-0.0,-12382,588.0,588,32.1,77.616,-572.556
2016-10-24,-1.0425974,9.9468065,1104882.015,1099468.065,0,0.0,0,45.88,0.0,0.0,-5363,-166.0,-166,117.1,21.829,-5569.979,0,0.0,0,4.29,0.0,0.0,0,0.0,0,41.65,0.0,0.0,-12970,630.0,630,31.7,79.695,-4855.995
2016-10-21,0.3580656,10.9894039,1113018.669,1109894.039,0,0.0,0,45.67,0.0,-0.0,-5197,-144.0,-144,116.81,21.96,2332.66,0,0.0,0,4.17,0.0,0.0,0,0.0,0,40.8,0.0,0.0,-13600,597.0,597,31.22,72.834,1247.996
2016-10-20,0.2007443,10.6313383,1109311.563,1106313.383,0,0.0,0,46.0,0.0,0.0,-5053,-61.0,-61,116.86,18.178,269.142,0,0.0,0,4.2,0.0,0.0,0,0.0,0,41.4,0.0,-0.0,-14197,253.0,253,31.47,31.119,1738.301
2016-10-19,0.2177166,10.430594,1100188.98,1104305.94,0,0.0,0,45.41,0.0,0.0,-4992,-68.0,-68,117.25,9.384,1722.856,0,0.0,0,4.17,0.0,0.0,0,0.0,0,41.65,0.0,0.0,-14450,372.0,372,31.97,49.29,454.31
2016-10-18,-0.0694415,10.2128774,1093741.474,1102128.774,0,0.0,0,45.7,0.0,0.0,-4924,-28.0,-28,118.18,4.284,407.276,0,0.0,0,4.15,0.0,0.0,0,0.0,0,41.7,0.0,0.0,-14822,669.0,669,32.1,106.371,-1101.691
2016-10-17,-1.5325963,10.2823189,1119701.129,1102823.189,0,0.0,0,45.08,0.0,0.0,-4896,-69.0,-69,117.33,10.488,360.492,0,0.0,0,4.15,0.0,0.0,0,0.0,0,41.1,0.0,0.0,-15491,306.0,306,30.7,43.605,-15686.455
2016-10-14,0.08557235,11.8149152,1109517.812,1118149.152,0,0.0,0,45.38,0.0,0.0,-4827,-69.0,-69,117.88,12.834,-3088.284,0,0.0,0,4.13,0.0,0.0,0,0.0,0,41.49,0.0,0.0,-15797,15.0,15,31.18,1.9425,3944.0075
2016-10-13,1.0317849,11.72934285,1114402.5685,1117293.4285,0,0.0,0,44.84,0.0,0.0,-4758,4.0,4,116.79,0.646,1714.434,0,0.0,0,4.04,0.0,-0.0,0,0.0,0,41.18,0.0,0.0,-15812,390.0,390,31.2,52.065,8603.415
2016-10-12,-1.11033025,10.69755795,1111140.4795,1106975.5795,0,0.0,0,45.78,0.0,0.0,-4762,-19.0,-19,117.35,4.2655,-4936.7955,0,0.0,0,4.26,0.0,0.0,0,0.0,0,40.92,0.0,0.0,-16202,38.0,38,31.24,5.187,-6166.507
2016-10-11,0.3115169,11.8078882,1106566.682,1118078.882,0,0.0,0,47.19,0.0,-0.0,-4743,26.0,26,117.7,5.239,-1233.889,0,0.0,0,4.13,0.0,0.0,0,0.0,0,41.77,0.0,-0.0,-16240,222.0,222,31.42,29.082,4349.058
