,Daily Returns,Total Returns,Funds,Margin,Portfolio Value,A Position,A Order,A Filled Order,A Trade Price,A Cost to Trade,A PnL,AAPL Position,AAPL Order,AAPL Filled Order,AAPL Trade Price,AAPL Cost to Trade,AAPL PnL,IBM Position,IBM Order,IBM Filled Order,IBM Trade Price,IBM Cost to Trade,IBM PnL,GOOG Position,GOOG Order,GOOG Filled Order,GOOG Trade Price,GOOG Cost to Trade,GOOG PnL,C Position,C Order,C Filled Order,C Trade Price,C Cost to Trade,C PnL
2016-09-28,-0.0851578,21.4797911,603674.051,614041.47,1217715.521,-410,20,20,46.9,2.48,-203.28,-807,-30,-30,113.69,4.26,-680.28,-285,14,14,156.99,3.472,-439.752,-557,-11,-11,777.85,7.524,743.366,-538,7,7,46.58,1.162,-271.632
2016-09-27,-0.6153464,21.5649489,618906.799,602181.98,1221088.779,-430,33,33,46.53,4.3065,-58.8865,-777,3,3,113.0,0.576,-164.106,-299,27,27,154.32,4.05,-847.44,-546,9,9,775.5,5.2515,-4821.6615,-545,1,1,45.52,0.14,-261.37
2016-09-26,0.7725797,22.1802953,598832.633,618759.3,1217591.933,-463,6,6,46.46,0.768,18.652,-780,-69,-69,111.64,18.078,-224.508,-326,6,6,154.46,0.999,328.121,-555,-23,-23,782.74,7.797,6939.473,-546,-31,-31,46.51,4.061,664.059
2016-09-23,0.1915407,21.4077156,615489.846,597475.31,1212965.156,-469,33,33,46.43,3.9765,32.0835,-711,-2,-2,114.42,0.294,1357.316,-332,25,25,155.62,4.4125,382.9975,-532,20,20,786.59,13.41,163.91,-515,8,8,47.02,1.02,-20.9
2016-09-22,-0.74178885,21.2161749,601288.929,615238.23,1216527.159,-502,7,7,46.38,0.994,-319.634,-709,-37,-37,114.35,6.5675,-735.5975,-357,5,5,156.15,0.9525,-211.1125,-552,-8,-8,780.0,4.344,-6040.584,-523,-19,-19,46.99,2.8405,-110.9605
2016-09-21,-0.34262395,21.95796375,621515.7775,600003.48,1221519.2575,-509,45,45,45.98,6.3,-186.42,-672,5,5,113.85,0.9025,11.1375,-362,27,27,154.91,5.562,-408.942,-544,22,22,772.66,7.48,-2651.62,-504,15,15,47.0,2.055,-190.395
2016-09-20,-0.345327,22.3005877,602171.757,621948.86,1224120.617,-554,7,7,45.33,0.917,-424.617,-677,-63,-63,113.05,15.5295,-42.1495,-389,6,6,155.87,1.092,156.288,-566,-21,-21,769.0,12.138,-3174.698,-519,-19,-19,47.04,2.5935,31.9065
2016-09-19,0.18477055,22.6459147,620453.147,601368.11,1221821.257,-561,35,35,44.9,4.6375,-98.2475,-614,-8,-8,115.19,1.636,823.284,-395,32,32,154.87,6.288,-446.098,-545,19,19,772.42,6.7355,1659.1045,-500,1,1,46.62,0.1275,-90.3375
2016-09-16,0.3438848,22.46114415,602531.5315,620502.84,1223034.3715,-596,8,8,45.39,1.148,386.652,-606,-39,-39,115.12,8.268,368.082,-427,0,0,155.04,0.0,777.14,-564,-11,-11,769.75,8.712,1593.498,-501,-36,-36,46.6,4.914,313.476
2016-09-15,-0.85803675,22.11725935,626974.6835,601157.08,1228131.7635,-604,47,47,44.86,5.875,-356.195,-567,26,26,113.86,8.359,-2217.299,-427,29,29,154.3,6.496,-701.216,-553,27,27,762.89,14.2695,-5151.3795,-465,-6,-6,46.75,0.828,-154.278
2016-09-14,-0.29925995,22.9752961,605437.861,626873.91,1232311.771,-651,-5,-5,45.01,0.7025,25.8875,-593,-30,-30,108.73,5.325,-2247.185,-456,-10,-10,155.7,2.215,799.245,-580,-25,-25,759.61,15.525,-1641.525,-459,-43,-43,46.89,5.762,70.978
2016-09-13,0.5805261,23.27455605,625303.8005,603930.47,1229234.2705,-646,61,61,45.36,10.187,562.703,-563,38,38,107.51,9.861,-1501.651,-446,30,30,157.63,8.535,1117.345,-555,26,26,764.48,23.777,5272.413,-416,-7,-7,46.9,1.239,354.451
2016-09-12,-0.91211385,22.69402995,614492.0995,624927.83,1239419.9295,-707,-12,-12,44.59,2.196,-620.766,-601,-21,-21,102.65,4.8195,-1403.2095,-476,0,0,155.26,0.0,-1237.6,-581,-27,-27,755.13,21.033,-5581.503,-409,-36,-36,46.64,5.4,-278.06
2016-09-09,1.32986305,23.6061438,614142.868,612740.03,1226882.898,-695,17,17,46.51,1.887,1494.083,-580,-15,-15,104.64,3.0225,1369.9775,-476,12,12,158.03,2.67,1584.53,-554,-10,-10,770.1,4.385,8619.055,-373,-10,-10,47.9,1.375,230.985
2016-09-08,0.55207075,22.27628075,606094.8375,613239.43,1219334.2675,-712,18,18,47.07,2.079,62.721,-565,-37,-37,107.25,6.8265,1556.7035,-488,14,14,160.55,2.632,1300.948,-544,-10,-10,778.59,4.265,2714.455,-363,-10,-10,47.46,1.39,-114.12
2016-09-07,-0.1343005,21.72421,613813.66,604821.72,1218635.38,-730,40,40,47.07,4.78,-126.38,-528,-15,-15,107.83,2.0925,-348.6225,-502,35,35,160.19,6.5625,-648.5425,-534,9,9,780.0,5.85,-149.31,-353,-7,-7,47.0,1.05,-70.15
2016-09-06,-0.49789065,21.8585105,608554.295,613743.07,1222297.365,-770,9,9,46.9,1.125,38.275,-513,-28,-28,107.9,4.452,15.698,-537,16,16,159.88,2.736,-437.616,-543,-7,-7,773.45,2.6285,-4669.3585,-346,-15,-15,47.51,2.025,74.095
2016-09-02,-0.2041786,22.35640115,614893.2415,607496.17,1222389.4115,-779,38,38,47.23,4.579,-21.489,-485,-2,-2,107.7,0.318,-483.378,-553,33,33,159.88,5.808,-22.558,-536,6,6,773.01,2.616,-1464.476,-331,-10,-10,47.5,1.635,-49.885
2016-09-01,-0.15060275,22.56057975,611422.2375,614748.37,1226170.6075,-817,18,18,47.03,2.142,-11.212,-483,-15,-15,106.14,2.1975,-305.8875,-586,13,13,158.32,2.21,-381.69,-542,-5,-5,769.25,1.4275,-928.0875,-321,-17,-17,47.82,2.4905,120.8495
2016-08-31,0.15220385,22.7111825,615793.595,610894.63,1226688.225,-835,22,22,47.12,3.003,131.037,-468,-11,-11,105.66,1.65,-52.19,-599,22,22,159.66,3.674,302.086,-537,-1,-1,767.01,0.4815,1092.9185,-304,-6,-6,47.96,0.813,48.187
2016-08-30,0.2372067,22.55897865,610247.3665,614838.62,1225085.9865,-857,23,23,47.66,2.967,407.473,-457,-22,-22,105.8,3.465,348.835,-621,20,20,159.76,3.71,194.21,-536,-8,-8,769.33,4.148,1613.452,-298,-7,-7,47.22,0.903,-191.903
2016-08-29,-0.2576943,22.32177195,616272.9195,609572.74,1225845.6595,-880,40,40,47.45,5.44,-274.64,-435,-16,-16,106.62,2.912,44.168,-641,35,35,158.83,8.0325,-923.2825,-528,-1,-1,768.74,0.6115,-1379.4915,-291,-1,-1,47.19,0.127,-43.697
2016-08-26,0.02003945,22.57946625,610633.5825,614868.57,1225502.1525,-920,40,40,47.41,5.62,-66.82,-419,-23,-23,107.41,3.68,256.61,-676,24,24,158.88,3.744,199.816,-527,-8,-8,769.0,4.284,-76.074,-290,-5,-5,46.83,0.5875,-113.1375
2016-08-25,4.06000000028e-05,22.5594268,617325.598,609957.99,1227283.588,-960,33,33,46.67,5.2635,-541.8735,-396,-27,-27,107.39,4.1445,160.7355,-700,38,38,159.0,7.334,288.566,-519,-2,-2,767.0,0.943,113.147,-285,-11,-11,46.51,1.419,-20.169
2016-08-24,0.3506491,22.5593862,606638.132,616629.76,1223267.892,-993,20,20,47.74,2.4,1111.36,-369,-34,-34,108.56,4.743,287.977,-738,13,13,159.89,2.0215,895.7685,-517,-16,-16,770.58,5.328,1232.152,-274,-19,-19,46.63,2.3465,-20.7665
2016-08-23,-0.055624,22.2087371,614819.671,605610.95,1220430.621,-1013,62,62,47.73,7.657,-260.077,-335,-22,-22,108.59,3.575,-115.715,-751,50,50,160.33,8.6,-220.36,-501,4,4,775.48,1.298,20.452,-255,-14,-14,46.9,1.75,19.46
2016-08-22,0.18781655,22.2643611,606848.551,615124.0,1221972.551,-1075,68,68,47.63,10.948,31.372,-313,-34,-34,108.86,5.661,243.389,-801,29,29,160.0,4.9155,28.2845,-505,-16,-16,773.27,4.776,1612.174,-241,-24,-24,46.42,3.084,-37.054
2016-08-19,0.09849035,22.07654455,615585.6355,606115.75,1221701.3855,-1143,85,85,46.58,13.8125,-1030.6125,-279,-26,-26,108.77,3.354,-89.534,-830,64,64,160.84,11.392,1117.488,-489,-6,-6,775.0,2.358,999.762,-217,-20,-20,46.34,2.49,-12.2
2016-08-18,0.24631055,21.9780542,603781.562,614958.61,1218740.172,-1228,3,3,46.88,0.3825,2104.1475,-253,-40,-40,109.23,6.06,29.76,-894,41,41,160.89,6.806,-847.736,-483,-18,-18,780.01,8.352,1157.478,-197,-34,-34,46.57,4.114,19.456
2016-08-17,-0.13152895,21.73174365,615181.4465,602643.71,1217825.1565,-1231,114,114,48.63,13.794,-238.344,-213,-41,-41,109.1,6.191,16.409,-935,87,87,160.97,14.094,205.516,-465,-4,-4,777.32,1.908,-1289.238,-163,-33,-33,46.51,4.3725,-9.6325
2016-08-16,0.3809918,21.8632726,602610.766,614164.73,1216775.496,-1345,69,69,48.27,8.625,218.305,-172,-48,-48,109.63,8.304,16.096,-1022,44,44,161.11,7.018,1232.822,-461,-25,-25,780.3,11.725,2378.075,-130,-20,-20,46.25,2.68,-35.38
2016-08-15,-0.0358231,21.4822808,612912.628,601395.34,1214307.968,-1414,159,159,48.17,19.875,-448.845,-124,-46,-46,108.14,6.118,-169.158,-1066,108,108,162.4,21.276,4.74399999999,-436,-11,-11,783.75,2.75,343.16,-110,-8,-8,45.82,0.952,-88.132
2016-08-12,0.23778415,21.5181039,602554.199,612218.03,1214772.229,-1573,165,165,47.97,22.44,-11.77,-78,-70,-70,107.78,10.78,-40.78,-1174,107,107,163.19,25.5195,1865.7805,-425,-35,-35,781.5,15.365,560.135,-102,-24,-24,45.41,3.144,4.476
2016-08-11,-0.3104026,21.28031975,614109.4475,601173.75,1215283.1975,-1738,270,270,47.62,31.995,-1139.255,-8,-98,-98,108.52,15.386,36.134,-1281,171,171,162.25,23.085,-1909.605,-390,-31,-31,785.0,9.3465,-65.7265,-78,-57,-57,45.51,7.1535,-25.5735
2016-08-10,-0.1070064,21.59072235,593126.0135,613228.01,1216074.0235,-2008,280,280,47.51,35.14,-172.42,90,-152,-152,108.71,22.268,-110.368,-1452,159,159,162.19,24.8835,-541.7835,-359,-73,-73,783.75,37.8505,-225.8605,-21,-131,-131,45.8,15.982,-19.632
2016-08-09,-0.0959466,21.69772875,594034.2975,592518.7,1217934.0175,-2288,441,441,47.11,55.7865,-506.2265,242,-206,-206,108.23,33.063,44.577,-1611,285,285,162.22,52.5825,331.0875,-286,-88,-88,781.1,28.776,-801.856,110,-142,-142,45.95,19.028,-27.048
2016-08-08,0.39699835,21.79367535,562330.8435,593190.61,1215653.1335,-2729,290,290,47.57,35.38,650.96,448,-155,-155,107.52,26.8925,378.0275,-1896,171,171,162.73,33.687,2866.143,-198,-89,-89,782.0,56.515,14.985,252,-12,-12,45.83,1.932,59.868
2016-08-05,-0.59479715,21.396677,580893.2,561390.92,1219164.64,-3019,593,593,47.1,76.7935,-2229.4435,603,-228,-228,106.27,31.008,1031.022,-2067,396,396,162.0,70.884,-4279.734,-109,-92,-92,773.78,33.442,-990.292,264,-36,-36,44.63,4.284,520.476
2016-08-04,-0.132875,21.99147415,539614.0715,579667.84,1220411.8815,-3612,-168,-168,47.16,19.152,931.728,831,-53,-53,105.58,8.1355,47.2145,-2463,-113,-113,160.86,17.289,-2163.259,-17,-113,-113,772.22,47.4035,-129.1935,300,60,60,43.74,9.24,-15.24
2016-08-03,0.1092408,22.12434915,505682.9115,538517.9,1222478.0515,-3444,-247,-247,47.1,34.333,255.867,884,-17,-17,104.81,3.4595,1160.1905,-2350,-164,-164,160.13,25.338,-310.638,96,-97,-97,767.18,48.4515,-223.2215,240,60,60,42.93,9.39,210.21
2016-08-02,0.166728,22.01510835,461192.0535,505065.09,1216948.3335,-3197,-293,-293,47.71,36.4785,2122.5715,901,-32,-32,106.05,5.984,-1420.554,-2186,-189,-189,161.27,36.0045,1831.7955,193,-84,-84,768.69,89.628,-790.918,180,35,35,43.23,4.865,-75.615
2016-08-01,0.1444664,21.84838035,439526.6435,460529.49,1219384.4435,-2904,-81,-81,48.11,11.421,685.539,933,-12,-12,104.41,1.722,1717.398,-1997,-108,-108,160.65,19.656,-1673.926,277,-43,-43,761.09,29.627,772.203,145,0,0,43.92,0.0,-56.55
2016-07-29,0.7446402,21.70391395,427674.5295,438873.31,1217391.5395,-2823,-34,-34,47.49,4.641,-1699.121,945,-48,-48,104.19,8.712,-138.762,-1889,-60,-60,161.36,9.3,1406.85,320,-23,-23,772.71,13.0525,7924.9475,145,-25,-25,43.87,3.1125,-47.5125
2016-07-28,0.2950519,20.95927375,416739.6475,426776.93,1210466.9275,-2789,-40,-40,47.19,5.46,-705.51,993,-12,-12,102.83,2.16,1376.67,-1829,-60,-60,161.38,10.17,804.17,343,-22,-22,747.04,10.406,1525.554,170,-35,-35,44.0,4.515,-50.365
2016-07-27,0.75480965,20.66422185,407560.4185,415993.28,1206843.9485,-2749,4,4,47.0,0.632,-853.022,1005,-47,-47,104.26,8.3425,6659.7875,-1769,-50,-50,162.12,10.575,502.435,365,-20,-20,738.28,9.42,1210.53,205,2,2,44.2,0.234,28.366
2016-07-26,-0.25425525,19.9094122,398457.802,406811.48,1200220.272,-2753,-51,-51,46.21,6.63,-2232.99,1052,68,68,96.82,13.328,-682.808,-1719,-41,-41,162.65,6.4165,904.6535,385,-31,-31,739.04,11.0205,-553.4005,203,27,27,43.93,3.3075,21.9925
2016-07-25,-0.240553,20.16366745,393051.7745,397451.98,1201781.6745,-2702,-24,-24,46.49,2.844,1183.876,984,47,47,98.25,7.0265,-1286.6365,-1678,-15,-15,162.0,2.7675,-977.0575,416,-16,-16,740.67,6.944,-1275.584,176,32,32,44.31,4.048,-50.128
2016-07-22,-0.13430205,20.40422045,393631.9545,392493.3,1205812.5545,-2678,-3,-3,46.72,0.402,240.768,937,16,16,99.26,3.096,-721.866,-1663,-1,-1,160.78,0.198,-2693.928,432,-13,-13,741.86,5.109,1812.401,144,49,49,44.1,6.3455,19.6045
2016-07-21,0.0700845,20.5385225,386761.645,392838.0,1204057.375,-2675,-37,-37,46.98,4.366,904.024,921,32,32,99.83,4.352,-488.322,-1662,-25,-25,160.75,5.1375,1492.0325,445,-23,-23,740.36,8.0845,-1166.3745,95,53,53,44.5,6.625,-40.515
